2015-01-01,price,location,inflation,exchange,interest
2015-01-01,37500800,1,8.2,167.5,0.13
2015-01-01,76227560,1,8.2,167.5,0.13
2015-01-01,49250450,1,8.2,167.5,0.13
2015-01-01,95865025,2,8.2,167.5,0.13
2015-01-01,106251507,2,8.2,167.5,0.13
2015-01-01,106965125,2,8.2,167.5,0.13
2015-01-01,27845690,3,8.2,167.5,0.13
2015-01-01,38800750,3,8.2,167.5,0.13
2015-02-01,60800524,3,8.2,167.5,0.13
2015-02-01,40350565,1,8.4,197.5,0.13
2015-02-01,44650230,1,8.4,197.5,0.13
2015-02-01,93550120,1,8.4,197.5,0.13
2015-02-01,94650522,2,8.4,197.5,0.13
2015-02-01,111350750,2,8.4,197.5,0.13
2015-02-01,96265900,2,8.4,197.5,0.13
2015-02-01,26850960,3,8.4,197.5,0.13
2015-02-01,37800550,3,8.4,197.5,0.13
2015-03-01,64900115,3,8.4,197.5,0.13
2015-03-01,41462600,1,8.5,196.5,0.13
2015-03-01,44225680,1,8.5,196.5,0.13
2015-03-01,66622850,1,8.5,196.5,0.13
2015-03-01,89250475,2,8.5,196.5,0.13
2015-03-01,120555230,2,8.5,196.5,0.13
2015-03-01,130870256,2,8.5,196.5,0.13
2015-03-01,28450250,3,8.5,196.5,0.13
2015-03-01,36350200,3,8.5,196.5,0.13
2015-04-01,65670333,3,8.5,196.5,0.13
2015-04-01,52200250,1,8.7,196.5,0.13
2015-04-01,41250500,1,8.7,196.5,0.13
2015-04-01,77950650,1,8.7,196.5,0.13
2015-04-01,93255500,2,8.7,196.5,0.13
2015-04-01,116500000,2,8.7,196.5,0.13
2015-04-01,147251650,2,8.7,196.5,0.13
2015-04-01,30875690,3,8.7,196.5,0.13
2015-04-01,45300000,3,8.7,196.5,0.13
2015-05-01,52350145,3,8.7,196.5,0.13
2015-05-01,50900480,1,9,196.5,0.13
2015-05-01,67633525,1,9,196.5,0.13
2015-05-01,56250055,1,9,196.5,0.13
2015-05-01,112500250,2,9,196.5,0.13
2015-05-01,143365784,2,9,196.5,0.13
2015-05-01,29450850,3,9,196.5,0.13
2015-05-01,42580750,3,9,196.5,0.13
2015-06-01,54900000,3,9,196.5,0.13
2015-06-01,35250550,1,9.2,196.45,0.13
2015-06-01,59632250,1,9.2,196.45,0.13
2015-06-01,59555254,1,9.2,196.45,0.13
2015-06-01,94250365,2,9.2,196.45,0.13
2015-06-01,53255650,2,9.2,196.45,0.13
2015-06-01,159775254,2,9.2,196.45,0.13
2015-06-01,36655245,3,9.2,196.45,0.13
2015-07-01,40700620,3,9.2,196.45,0.13
2015-07-01,37695352,1,9.2,196.5,0.13
2015-07-01,58650500,1,9.2,196.5,0.13
2015-07-01,95650000,2,9.2,196.5,0.13
2015-07-01,56533280,2,9.2,196.5,0.13
2015-07-01,147750645,2,9.2,196.5,0.13
2015-07-01,32950749,3,9.2,196.5,0.13
2015-07-01,52250700,3,9.2,196.5,0.13
2015-08-01,50233680,3,9.2,196.5,0.13
2015-08-01,52225385,1,9.3,196.5,0.13
2015-08-01,86455230,1,9.3,196.5,0.13
2015-08-01,57250545,1,9.3,196.5,0.13
2015-08-01,105635250,2,9.3,196.5,0.13
2015-08-01,160245850,2,9.3,196.5,0.13
2015-08-01,32600555,3,9.3,196.5,0.13
2015-08-01,54000500,3,9.3,196.5,0.13
2015-09-01,76421775,3,9.3,196.5,0.13
2015-09-01,72550335,1,9.4,196.45,0.13
2015-09-01,75555150,1,9.4,196.45,0.13
2015-09-01,61250750,1,9.4,196.45,0.13
2015-09-01,107285545,2,9.4,196.45,0.13
2015-09-01,51265930,2,9.4,196.45,0.13
2015-09-01,163755252,2,9.4,196.45,0.13
2015-09-01,50231850,3,9.4,196.45,0.13
2015-10-01,58275400,3,9.4,196.45,0.13
2015-10-01,75800125,1,9.3,196.5,0.13
2015-10-01,52245000,1,9.3,196.5,0.13
2015-10-01,114025500,2,9.3,196.5,0.13
2015-10-01,149450250,2,9.3,196.5,0.13
2015-10-01,164249540,2,9.3,196.5,0.13
2015-10-01,31500661,3,9.3,196.5,0.13
2015-10-01,75425100,3,9.3,196.5,0.13
2015-11-01,60800245,3,9.3,196.5,0.13
2015-11-01,5100600,1,9.37,196.5,0.11
2015-11-01,51500500,1,9.37,196.5,0.11
2015-11-01,92500670,1,9.37,196.5,0.11
2015-11-01,112145250,2,9.37,196.5,0.11
2015-11-01,127850565,2,9.37,196.5,0.11
2015-11-01,39350400,3,9.37,196.5,0.11
2015-11-01,57214900,3,9.37,196.5,0.11
2015-12-01,66255555,3,9.37,196.5,0.11
2015-12-01,49365950,1,9.55,196.5,0.11
2015-12-01,55500250,1,9.55,196.5,0.11
2015-12-01,93635500,1,9.55,196.5,0.11
2015-12-01,110450250,2,9.55,196.5,0.11
2015-12-01,115750458,2,9.55,196.5,0.11
2015-12-01,162120480,2,9.55,196.5,0.11
2015-12-01,37250500,3,9.55,196.5,0.11
2016-01-01,64650335,3,9.55,196.5,0.11
2016-01-01,42800500,1,9.62,196.5,0.11
2016-01-01,45564350,1,9.62,196.5,0.11
2016-01-01,46600462,1,9.62,196.5,0.11
2016-01-01,98673500,1,9.62,196.5,0.11
2016-01-01,97500635,1,9.62,196.5,0.11
2016-01-01,153651251,2,9.62,196.5,0.11
2016-01-01,230256842,2,9.62,196.5,0.11
2016-01-01,44450350,3,9.62,196.5,0.11
2016-02-01,43500255,3,9.62,196.5,0.11
2016-02-01,70525633,1,11.38,196.5,0.11
2016-02-01,100025865,1,11.38,196.5,0.11
2016-02-01,99523650,1,11.38,196.5,0.11
2016-02-01,95475250,1,11.38,196.5,0.11
2016-02-01,149785365,2,11.38,196.5,0.11
2016-02-01,165254775,2,11.38,196.5,0.11
2016-02-01,32690845,3,11.38,196.5,0.11
2016-02-01,31965850,3,11.38,196.5,0.11
2016-03-01,33250450,3,11.38,196.5,0.11
2016-03-01,65254632,1,12.77,196.5,0.12
